grade	word	meaning	category
2-1	head	头	body
2-1	your	你的	pronoun
2-1	long	长的	adj
2-1	now	现在	time
2-1	look	看	verb
2-1	kangaroo	袋鼠	animal
2-1	lion	狮子	animal
2-1	has	有	verb
2-1	playground	操场	place
2-1	slide	滑梯	noun
2-1	swing	秋千	noun
2-1	seesaw	跷跷板	noun
2-1	nightingale	夜莺	animal
2-1	room	房间	room
2-1	put	放	verb
2-1	the	这，那些	article
2-1	in	在……里面	prep
2-1	bag	包，书包	school
2-1	dad	爸爸	family
2-1	box	盒子	noun
2-1	on	在……上面	prep
2-1	chair	椅子	furniture
2-1	desk	书桌	school
2-1	car	小汽车	vehicle
2-1	look at	看	phrase
2-1	pencil case	铅笔盒	school
2-1	ox	公牛，牛	animal
2-1	work	工作	verb
2-1	sleep	睡觉	verb
2-1	dinner	晚餐	meal
2-1	ready	准备好的	adj
2-1	plate	盘子	noun
2-1	chopsticks	筷子	noun
2-1	bowl	碗	noun
2-1	spoon	勺子	noun
2-1	queen bee	蜂后	animal
2-1	fly around	飞来飞去	phrase
2-1	run around	跑来跑去	phrase
2-1	sky	天空	nature
2-1	moon	月亮	nature
2-1	bright	明亮的	adj
2-1	sun	太阳	nature
2-1	star	星星	nature
2-1	snake	蛇	animal
2-1	king	国王	person
2-1	forest	森林	nature
2-1	fox	狐狸	animal
2-1	meat	肉	food
2-1	hippo	河马	animal
2-1	grass	草	nature
2-1	wild	野生的	adj
2-1	animal	动物	animal
2-1	cute	可爱的	adj
2-1	wow	哇	phrase
2-1	so	如此，那么	adv
2-1	dove	鸽子	animal
2-1	swan	天鹅	animal
2-1	white	白色的	color
2-1	street	街道	place
2-1	don't	不要，不	phrase
2-1	pick	摘，捡	verb
2-1	flower	花	nature
2-1	climb	爬	verb
2-1	tree	树	nature
2-1	cut	剪，切	verb
2-1	park	公园	place
2-1	nice	好的，美丽的	adj
2-1	beautiful	美丽的	adj
2-1	cry	哭，叫喊	verb
2-1	yak	牦牛	animal
2-1	zebra	斑马	animal
2-2	are	是	verb
2-2	they	他们，她们，它们	pronoun
2-2	brown	棕色的	color
2-2	white	白色的	color
2-2	black	黑色的	color
2-2	and	和	conj
2-2	feel	摸起来，感觉	verb
2-2	touch	碰，触摸	verb
2-2	hard	硬的	adj
2-2	soft	软的	adj
2-2	happy	快乐的	adj
2-2	birthday	生日	time
2-2	for	为了，给	prep
2-2	guess	猜	verb
2-2	pencil case	铅笔盒	school
2-2	open	打开	verb
2-2	wow	哇	phrase
2-2	watch	看	verb
2-2	train	火车	vehicle
2-2	ship	船	vehicle
2-2	car	汽车	vehicle
2-2	bus	公共汽车	vehicle
2-2	listen	听	verb
2-2	beside	在……旁边	prep
2-2	window	窗户	furniture
2-2	can't	不能，不会	phrase
2-2	thing	东西，事情	noun
2-2	doing	做（进行中）	verb
2-2	running	跑步（进行中）	verb
2-2	skating	滑冰（进行中）	verb
2-2	hopping	跳跃（进行中）	verb
2-2	riding	骑（进行中）	verb
2-2	skate	滑冰	verb
2-2	hop	跳跃	verb
2-2	skipping	跳绳（进行中）	verb
2-2	flying	飞（进行中）	verb
2-2	swimming	游泳（进行中）	verb
2-2	too	也	adv
2-2	let's	让我们	phrase
2-2	together	一起	adv
2-2	would like	想要	phrase
2-2	some	一些	determiner
2-2	salad	色拉	food
2-2	sure	当然，确定的	adj
2-2	don't	不要，不	phrase
2-2	fish	鱼	food
2-2	chicken	鸡肉	food
2-2	nice	好吃的，好的	adj
2-2	yummy	美味的	adj
2-2	zebra	斑马	animal
2-2	giraffe	长颈鹿	animal
2-2	snake	蛇	animal
2-2	elephant	大象	animal
2-2	lion	狮子	animal
2-2	toy shop	玩具店	place
2-2	toy	玩具	toy
2-2	autumn	秋天	season
2-2	cool	凉爽的	adj
2-2	winter	冬天	season
2-2	cold	寒冷的	adj
2-2	fly a kite	放风筝	phrase
2-2	eat	吃	verb
2-2	fruit	水果	food
2-2	sleeping	睡觉（进行中）	verb
2-2	traffic	交通	noun
2-2	rule	规则	noun
2-2	light	灯	noun
2-2	stop	停止	verb
2-2	go	走，去	verb
2-2	wait	等待	verb
2-2	sweater	毛衣	clothes
2-2	shirt	衬衫	clothes
2-2	coat	外套	clothes
2-2	trousers	裤子	clothes
2-2	woof	汪汪	sound
2-2	play yo-yo	玩悠悠球	phrase
2-2	play cards	打牌	phrase
2-2	play football	踢足球	phrase
2-2	Teachers' Day	教师节	time
2-2	teacher	老师	job
2-2	today	今天	time
2-2	September	九月	month
2-2	idea	主意	noun
2-2	card	卡片	noun
2-2	balloon	气球	noun
2-2	blow	吹	verb
2-2	tie	系，绑	verb
2-2	Papa Bear	熊爸爸	person
2-2	Mama Bear	熊妈妈	person
2-2	Baby Bear	熊宝宝	person
2-2	hungry	饿的	adj
2-2	thirsty	渴的	adj
2-2	tired	累的	adj
2-2	house	房子	place
2-2	want	想要	verb
2-2	milk	牛奶	drink
2-2	bread	面包	food
2-2	want to	想要做……	phrase
2-2	bed	床	furniture
2-2	little	小的	adj
3-1	hello	你好	greeting
3-1	morning	早晨，上午	time
3-1	Miss	小姐	title
3-1	I	我	pronoun
3-1	good	好的	adj
3-1	Mr	先生	title
3-1	Mrs	太太	title
3-1	are	是	verb
3-1	fine	健康的	adj
3-1	goodbye	再见	greeting
3-1	hi	嗨	greeting
3-1	thank	谢谢	verb
3-1	you	你，你们	pronoun
3-1	boy	男孩	person
3-1	girl	女孩	person
3-1	am	是	verb
3-1	no	不，不是	adv
3-1	not	不是	adv
3-1	yes	是	adv
3-1	tall	高的	adj
3-1	short	矮的	adj
3-1	fat	胖的	adj
3-1	thin	瘦的	adj
3-1	friend	朋友	person
3-1	is	是	verb
3-1	he	他	pronoun
3-1	my	我的	pronoun
3-1	this	这，这个	pronoun
3-1	she	她	pronoun
3-1	father	爸爸	family
3-1	mother	妈妈	family
3-1	brother	哥哥，弟弟	family
3-1	sister	姐姐，妹妹	family
3-1	me	我	pronoun
3-1	beautiful	美丽的	adj
3-1	who	谁	question
3-1	family	家庭	noun
3-1	hair	头发	body
3-1	eye	眼睛	body
3-1	ear	耳朵	body
3-1	nose	鼻子	body
3-1	mouth	嘴巴	body
3-1	face	脸	body
3-1	big	大的	adj
3-1	long	长的	adj
3-1	look	看	verb
3-1	small	小的	adj
3-1	blackboard	黑板	school
3-1	door	门	furniture
3-1	window	窗户	furniture
3-1	clean	把……擦干净，打扫	verb
3-1	please	请	phrase
3-1	late	迟到	adj
3-1	look at	看	phrase
3-1	open	打开	verb
3-1	close	关	verb
3-1	the	这个，那些	article
3-1	a	一个	article
3-1	an	一个	article
3-1	apple	苹果	food
3-1	banana	香蕉	food
3-1	orange	橘子	food
3-1	pear	梨	food
3-1	dad	爸爸	family
3-1	here	这里	place
3-1	how much	多少（询问价钱）	phrase
3-1	they	他们，她们，它们	pronoun
3-1	it	它	pronoun
3-1	chair	椅子	furniture
3-1	desk	书桌	school
3-1	pen	钢笔	school
3-1	bed	床	furniture
3-1	schoolbag	书包	school
3-1	book	书	school
3-1	these	这些	pronoun
3-1	pencil	铅笔	school
3-1	ruler	尺子	school
3-1	mum	妈妈	family
3-1	your	你的，你们的	pronoun
3-1	one	一	number
3-1	two	二	number
3-1	three	三	number
3-1	four	四	number
3-1	five	五	number
3-1	six	六	number
3-1	seven	七	number
3-1	eight	八	number
3-1	nine	九	number
3-1	ten	十	number
3-1	how many	多少（询问数量）	phrase
3-1	mouse	老鼠	animal
3-1	cat	猫	animal
3-1	dog	狗	animal
3-1	rabbit	兔子	animal
3-1	fish	鱼	animal
3-1	it's	它是	phrase
3-1	tail	尾巴	body
3-1	what	什么	question
3-1	spring	春天	season
3-1	summer	夏天	season
3-1	autumn	秋天	season
3-1	winter	冬天	season
3-1	cold	寒冷的	adj
3-1	cool	凉爽的	adj
3-1	hot	炎热的	adj
3-1	warm	温暖的	adj
3-1	in	在（某段时间）里	prep
3-2	black	黑色	color
3-2	blue	蓝色	color
3-2	green	绿色	color
3-2	red	红色	color
3-2	white	白色	color
3-2	yellow	黄色	color
3-2	and	和	conj
3-2	ball	球	noun
3-2	colour	颜色	noun
3-2	candy	糖果	food
3-2	ice cream	冰淇淋	food
3-2	lemon	柠檬	food
3-2	how	怎样	question
3-2	orange	橘子	food
3-2	sour	酸的	adj
3-2	sweet	甜的	adj
3-2	taste	品尝	verb
3-2	bike	自行车	vehicle
3-2	bus	大客车	vehicle
3-2	plane	飞机	vehicle
3-2	ship	船	vehicle
3-2	car	汽车	vehicle
3-2	train	火车	vehicle
3-2	can	能	verb
3-2	hear	听见	verb
3-2	listen	听	verb
3-2	bear	熊	animal
3-2	elephant	大象	animal
3-2	lion	狮子	animal
3-2	monkey	猴子	animal
3-2	panda	熊猫	animal
3-2	tiger	老虎	animal
3-2	like	像，喜欢	verb
3-2	man	男人	person
3-2	old	旧的，老的	adj
3-2	our	我们的	pronoun
3-2	strong	强壮	adj
3-2	kite	风筝	toy
3-2	robot	机器人	toy
3-2	toy bear	玩具熊	toy
3-2	fun	有趣的	adj
3-2	lovely	可爱的	adj
3-2	play	玩	verb
3-2	sorry	对不起	phrase
3-2	biscuit	饼干	food
3-2	bread	面包	food
3-2	egg	鸡蛋	food
3-2	juice	果汁	drink
3-2	milk	牛奶	drink
3-2	water	水	drink
3-2	breakfast	早餐	meal
3-2	child	孩子	person
3-2	have	有	verb
3-2	some	一些	determiner
3-2	too	也	adv
3-2	we	我们	pronoun
3-2	dance	跳舞	verb
3-2	paint	画画	verb
3-2	read	读	verb
3-2	sing	唱歌	verb
3-2	skate	滑冰	verb
3-2	swim	游泳	verb
3-2	at home	在家	phrase
3-2	come in	进来	phrase
3-2	sleep	睡觉	verb
3-2	work	工作	verb
3-2	worker	工人	job
3-2	cake	蛋糕	food
3-2	card	卡片	noun
3-2	noodle	面条	food
3-2	birthday	生日	time
3-2	dear	亲爱的	adj
3-2	for	为了	prep
3-2	how old	多大（年纪）	phrase
3-2	to	向，朝着	prep
3-2	cow	牛	animal
3-2	horse	马	animal
3-2	pig	猪	animal
3-2	sheep	羊	animal
3-2	bye	再见	greeting
3-2	farm	农场	place
3-2	grass	草	nature
3-2	great	好，伟大的	adj
3-2	litter	垃圾	noun
3-2	stone	石头	nature
3-2	throw	扔	verb
3-2	head	头	body
3-2	body	身体	body
3-2	arm	胳膊	body
3-2	hand	手	body
3-2	leg	腿	body
3-2	foot	脚	body
3-2	flower	花	nature
3-2	photo	照片	noun
3-2	tea	茶	drink
3-2	cup	杯子	noun
3-2	day	天，白天	time
3-2	idea	主意	noun
3-2	love	爱	verb
3-2	afraid of	害怕	phrase
3-2	bad	坏的	adj
3-2	house	房子	place
3-2	little	小，一点儿	adj
3-2	make	做，制造	verb
3-2	now	现在	time
3-2	there	那里	place
3-2	very	非常	adv
4-1	meet	相识	verb
4-1	new	新的	adj
4-1	morning	早晨	time
4-1	classmate	同学	person
4-1	her	她的	pronoun
4-1	name	名字	noun
4-1	sit	坐	verb
4-1	afternoon	下午	time
4-1	his	他的	pronoun
4-1	run	跑	verb
4-1	fast	快	adj
4-1	fly	飞	verb
4-1	draw	画画	verb
4-1	write	写字	verb
4-1	jump	跳	verb
4-1	welcome	欢迎	phrase
4-1	woof	汪汪	sound
4-1	but	但是	conj
4-1	happy	开心的	adj
4-1	sad	难过的	adj
4-1	tired	累的	adj
4-1	hungry	饥饿的	adj
4-1	full	饱的	adj
4-1	thirsty	口渴的	adj
4-1	bird	鸟	animal
4-1	see	看见	verb
4-1	bottle	瓶子	noun
4-1	drink	喝	verb
4-1	any	任何	determiner
4-1	cousin	表兄弟，表姐妹	family
4-1	family	家庭	noun
4-1	parent	父母亲	family
4-1	grandparent	祖父母，外祖父母	family
4-1	son	儿子	family
4-1	grandfather	外公（爷爷）	family
4-1	grandpa	外公（爷爷）	family
4-1	grandmother	外婆（奶奶）	family
4-1	grandma	外婆（奶奶）	family
4-1	uncle	叔叔，舅舅	family
4-1	aunt	姑妈，阿姨	family
4-1	that	那个	pronoun
4-1	T-shirt	T 恤衫	clothes
4-1	brown	棕色	color
4-1	shorts	短裤	clothes
4-1	ride	骑	verb
4-1	skirt	短裙	clothes
4-1	dress	连衣裙	clothes
4-1	shirt	衬衫	clothes
4-1	tooth	牙齿	body
4-1	sharp	锋利	adj
4-1	help	帮助	verb
4-1	get out	出去	phrase
4-1	nurse	护士	job
4-1	fireman	消防员	job
4-1	teacher	教师	job
4-1	doctor	医生	job
4-1	bus driver	公共汽车司机	job
4-1	kid	小孩	person
4-1	so	如此	adv
4-1	fire	火	noun
4-1	people	人们	person
4-1	job	工作，职业	noun
4-1	school	学校	place
4-1	office	办公室	place
4-1	busy	繁忙	adj
4-1	computer	电脑	noun
4-1	many	许多	determiner
4-1	library	图书馆	place
4-1	playground	操场	place
4-1	classroom	教室	place
4-1	toilet	厕所	place
4-1	animal	动物	animal
4-1	forest	森林	nature
4-1	pupil	小学生	person
4-1	try	尝试	verb
4-1	first	第一	number
4-1	shop	商店	place
4-1	tomato	西红柿	food
4-1	soup	汤	food
4-1	potato	土豆	food
4-1	carrot	胡萝卜	food
4-1	thirty	三十	number
4-1	fish	鱼	food
4-1	meat	肉	food
4-1	rice	米饭	food
4-1	glasses	眼镜	clothes
4-1	want	想要	verb
4-1	together	一起	adv
4-1	magic	神奇	adj
4-1	need	需要	verb
4-1	where	哪里	question
4-1	in	在……里面	prep
4-1	box	盒子	noun
4-1	give	给	verb
4-1	plate	盘子	noun
4-1	on	在……上面	prep
4-1	table	桌子	furniture
4-1	lunch	午餐	meal
4-1	under	在……下面	prep
4-1	beside	在……旁边	prep
4-1	kitchen	厨房	room
4-1	floor	地板	noun
4-1	angry	生气的	adj
4-1	around	到处	adv
4-1	home	家	place
4-1	street	街道	place
4-1	park	公园	place
4-1	near	附近	prep
4-1	behind	在……后面	prep
4-1	supermarket	超市	place
4-1	restaurant	餐馆	place
4-1	live	居住	verb
4-1	old	古老的	adj
4-1	eat	吃	verb
4-1	nice	美味的	adj
4-1	food	食物	food
4-1	a lot of	很多	phrase
4-1	shape	形状	noun
4-1	picture	图画	noun
4-1	square	正方形	shape
4-1	circle	圆形	shape
4-1	star	五角星	shape
4-1	rectangle	长方形	shape
4-1	triangle	三角形	shape
4-1	today	今天	time
4-1	well	好，健康	adj
4-1	weather	天气	noun
4-1	rainy	多雨的	weather
4-1	cloudy	多云的	weather
4-1	windy	多风的	weather
4-1	sunny	阳光充足的	weather
4-1	Sunday	星期天	day
4-1	cloud	云	nature
4-1	rain	雨	nature
4-1	sun	太阳	nature
4-1	wind	风	nature
4-2	touch	碰，触摸	verb
4-2	feel	摸起来，感到	verb
4-2	soft	柔软的	adj
4-2	hard	坚硬的	adj
4-2	thick	厚的，粗的	adj
4-2	thin	薄的，细的	adj
4-2	blind	瞎的，失明的	adj
4-2	noise	响声，吵闹声	noun
4-2	young	年轻的	adj
4-2	smell	闻，嗅	verb
4-2	strawberry	草莓	food
4-2	or	或者，还是	conj
4-2	watermelon	西瓜	food
4-2	grape	葡萄	food
4-2	fox	狐狸	animal
4-2	round	圆的	adj
4-2	purple	紫色的	color
4-2	wait	等待，等候	verb
4-2	minute	一会儿，分钟	time
4-2	get	得到	verb
4-2	those	那些	pronoun
4-2	rise	升起	verb
4-2	shadow	影子	noun
4-2	noon	中午	time
4-2	high	高的	adj
4-2	sky	天空	nature
4-2	evening	黄昏，晚上	time
4-2	again	再，又	adv
4-2	night	夜晚	time
4-2	moon	月亮	nature
4-2	him	他	pronoun
4-2	stop	停下	verb
4-2	at noon	在中午	phrase
4-2	go down	落下	phrase
4-2	at night	在夜晚	phrase
4-2	take a walk	散步	phrase
4-2	subject	学科，科目	noun
4-2	lesson	课	noun
4-2	Chinese	语文	subject
4-2	Maths	数学	subject
4-2	English	英语	subject
4-2	Science	科学	subject
4-2	PE	体育	subject
4-2	Music	音乐	subject
4-2	Art	美术	subject
4-2	timetable	课程表	school
4-2	from	从	prep
4-2	a.m.	上午	time
4-2	p.m.	下午	time
4-2	break	休息	noun
4-2	from...to...	从……到……	phrase
4-2	sport	体育运动	activity
4-2	football	足球	sport
4-2	club	俱乐部	noun
4-2	join	参加	verb
4-2	tell	告诉	verb
4-2	about	关于	prep
4-2	basketball	篮球	sport
4-2	volleyball	排球	sport
4-2	us	我们	pronoun
4-2	table tennis	乒乓球运动	sport
4-2	play football	踢足球	phrase
4-2	play basketball	打篮球	phrase
4-2	play volleyball	打排球	phrase
4-2	wonderful	使人愉悦的，绝妙的	adj
4-2	violin	小提琴	instrument
4-2	guitar	吉他	instrument
4-2	whose	谁的	question
4-2	piano	钢琴	instrument
4-2	city	城市	place
4-2	bag	袋子	noun
4-2	all	全部	determiner
4-2	play the violin	拉小提琴	phrase
4-2	play the guitar	弹吉他	phrase
4-2	o'clock	……点钟	time
4-2	quarter	一刻钟	time
4-2	time	时间	time
4-2	half	半，一半	number
4-2	wash	洗	verb
4-2	dinner	晚餐，正餐	meal
4-2	start	开始	verb
4-2	catch	捉住	verb
4-2	get up	起床	phrase
4-2	brush teeth	刷牙	phrase
4-2	half past	……点半	phrase
4-2	have breakfast	吃早餐	phrase
4-2	go to school	去上学	phrase
4-2	wash face	洗脸	phrase
4-2	have lunch	吃午餐	phrase
4-2	have dinner	吃晚餐	phrase
4-2	go to bed	上床睡觉	phrase
4-2	week	星期，周	time
4-2	Monday	星期一	day
4-2	with	和……一起	prep
4-2	Tuesday	星期二	day
4-2	Wednesday	星期三	day
4-2	Thursday	星期四	day
4-2	Friday	星期五	day
4-2	game	游戏	activity
4-2	Saturday	星期六	day
4-2	Sunday	星期日	day
4-2	clock	时钟，钟	noun
4-2	play chess	下国际象棋	phrase
4-2	at the weekend	在周末	phrase
4-2	be late for	迟到	phrase
4-2	China	中国	country
4-2	talk	谈话，说话	verb
4-2	May	五月	month
4-2	June	六月	month
4-2	January	一月	month
4-2	February	二月	month
4-2	March	三月	month
4-2	April	四月	month
4-2	July	七月	month
4-2	August	八月	month
4-2	September	九月	month
4-2	October	十月	month
4-2	November	十一月	month
4-2	December	十二月	month
4-2	email	电子邮件	noun
4-2	hat	帽子	clothes
4-2	wear	穿，戴	verb
4-2	yours	你的，你们的	pronoun
4-2	every year	每年	phrase
4-2	garden	花园	place
4-2	plant	植物	nature
4-2	leaf	叶子	nature
4-2	water	给……浇水	verb
4-2	them	它们，他们，她们	pronoun
4-2	grow	生长，成长	verb
4-2	seed	种子	nature
4-2	every day	每天	phrase
4-2	song	歌曲	noun
4-2	zoo	动物园	place
4-2	cinema	电影院	place
4-2	museum	博物馆	place
4-2	also	也，还	adv
4-2	have a party	举办聚会	phrase
4-2	ugly	丑的，丑陋的	adj
4-2	duck	鸭子	animal
4-2	duckling	小鸭子	animal
4-2	river	河，江	nature
4-2	baby	宝宝，婴儿	person
4-2	later	后来，以后	adv
4-2	quack	嘎嘎	sound
4-2	back	背，背部	body
4-2	away	去别处，朝另一个方向	adv
4-2	swan	天鹅	animal
4-2	into	朝，向，到……里面	prep
5-1	future	未来	noun
5-1	want	想要	verb
5-1	pilot	飞行员	job
5-1	teach	教	verb
5-1	cook	厨师，烹饪	job
5-1	taxi driver	出租车司机	job
5-1	job	工作，职业	noun
5-1	singer	歌手	job
5-1	fall	掉落	verb
5-1	lifeguard	救生员	job
5-1	save	救	verb
5-1	become	变成，变得	verb
5-1	be good at	擅长	phrase
5-1	by	靠近，乘	prep
5-1	walk	走，步行	verb
5-1	Ms	女士	title
5-1	journey	旅程	noun
5-1	primary school	小学	place
5-1	underground	地铁	vehicle
5-1	station	车站	place
5-1	take	乘坐，带领	verb
5-1	after	在……之后	prep
5-1	hour	小时	time
5-1	bus stop	公共汽车站	place
5-1	by bus	乘公共汽车	phrase
5-1	far from	离……远	phrase
5-1	on foot	步行	phrase
5-1	by bike	骑自行车	phrase
5-1	by car	乘小汽车	phrase
5-1	get off	下车	phrase
5-1	party	聚会	activity
5-1	when	什么时候	question
5-1	begin	开始	verb
5-1	bring	带来	verb
5-1	thing	东西	noun
5-1	favourite	最喜欢的	adj
5-1	interesting	有趣的	adj
5-1	hat	帽子	clothes
5-1	have fun	尽情玩	phrase
5-1	usually	通常	adv
5-1	often	经常	adv
5-1	visit	看望，拜访	verb
5-1	sometimes	有时	adv
5-1	always	总是，一直	adv
5-1	never	从不	adv
5-1	play sport	做运动	phrase
5-1	go shopping	去购物	phrase
5-1	clever	聪明的	adj
5-1	same	相同的	adj
5-1	class	班级	school
5-1	both	（两个）都	determiner
5-1	cross	穿越，越过	verb
5-1	carry	背，提	verb
5-1	heavy	重的	adj
5-1	different	不同的	adj
5-1	bored	无聊的	adj
5-1	word	单词	noun
5-1	easy	容易的	adj
5-1	say	说	verb
5-1	then	然后，那么	adv
5-1	ask	问	verb
5-1	answer	回答	verb
5-1	soon	很快，不久	adv
5-1	each other	互相	phrase
5-1	make phone calls	打电话	phrase
5-1	life	生活	noun
